match,date,venue,competition,season,competition_type,rugby_pass_url
enisei_stm_vs_worcester_warriors,2019-11-15,kuban_stadium,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/enisei-stm-vs-worcester-warriors-at-kuban-stadium-on-15112019/2019-2020/stats/
agen_vs_edinburgh,2019-11-15,stade_armandie,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/agen-vs-edinburgh-at-stade-armandie-on-15112019/2019-2020/stats/
stade_francais_vs_brive,2019-11-15,stade_jean_bouin,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/stade-francais-vs-brive-at-stade-jean-bouin-on-15112019/2019-2020/stats/
bayonne_vs_toulon,2019-11-15,stade_jean_dauger,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/bayonne-vs-toulon-at-stade-jean-dauger-on-15112019/2019-2020/stats/
rugby_calvisano_vs_cardiff_blues,2019-11-16,pata_stadium,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/rugby-calvisano-vs-cardiff-blues-at-pata-stadium-on-16112019/2019-2020/stats/
bristol_vs_zebre,2019-11-16,ashton_gate,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/bristol-vs-zebre-at-ashton-gate-on-16112019/2019-2020/stats/
leicester_tigers_vs_pau,2019-11-16,welford_road,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/leicester-tigers-vs-pau-at-welford-road-on-16112019/2019-2020/stats/
gwent_dragons_vs_castres,2019-11-16,rodney_parade,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/gwent-dragons-vs-castres-at-rodney-parade-on-16112019/2019-2020/stats/
bordeaux_vs_wasps,2019-11-16,stade_chaban_delmas,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/bordeaux-vs-wasps-at-stade-chaban-delmas-on-16112019/2019-2020/stats/
scarlets_vs_london_irish,2019-11-16,parc_y_scarlets,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/scarlets-vs-london-irish-at-parc-y-scarlets-on-16112019/2019-2020/stats/
enisei_stm_vs_gwent_dragons,2019-11-22,kuban_stadium,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/enisei-stm-vs-gwent-dragons-at-kuban-stadium-on-22112019/2019-2020/stats/
brive_vs_bristol,2019-11-22,stade_amedee_domenech,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/brive-vs-bristol-at-stade-amedee-domenech-on-22112019/2019-2020/stats/
pau_vs_rugby_calvisano,2019-11-22,stade_du_hameau,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/pau-vs-rugby-calvisano-at-stade-du-hameau-on-22112019/2019-2020/stats/
edinburgh_vs_bordeaux,2019-11-22,bt_murrayfield_stadium,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/edinburgh-vs-bordeaux-at-bt-murrayfield-stadium-on-22112019/2019-2020/stats/
toulon_vs_scarlets,2019-11-22,stade_felix_mayol,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/toulon-vs-scarlets-at-stade-felix-mayol-on-22112019/2019-2020/stats/
castres_vs_worcester_warriors,2019-11-23,stade_pierre_fabre,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/castres-vs-worcester-warriors-at-stade-pierre-fabre-on-23112019/2019-2020/stats/
london_irish_vs_bayonne,2019-11-23,madejski_stadium,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/london-irish-vs-bayonne-at-madejski-stadium-on-23112019/2019-2020/stats/
zebre_vs_stade_francais,2019-11-23,stadio_sergio_lanfranchi,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/zebre-vs-stade-francais-at-stadio-sergio-lanfranchi-on-23112019/2019-2020/stats/
wasps_vs_agen,2019-11-23,ricoh_arena,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/wasps-vs-agen-at-ricoh-arena-on-23112019/2019-2020/stats/
cardiff_blues_vs_leicester_tigers,2019-11-23,cardiff_arms_park,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/cardiff-blues-vs-leicester-tigers-at-cardiff-arms-park-on-23112019/2019-2020/stats/
enisei_stm_vs_castres,2019-12-06,kuban_stadium,challenge_cup,2019-2020,club,https://www.rugbypass.com/live/challenge-cup/enisei-stm-vs-castres-at-kuban-stadium-on-06122019/2019-2020/stats/
