match,date,venue,competition,season,competition_type,rugby_pass_url
new_zealand_vs_australia,2018-10-27,nissan_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/new-zealand-vs-australia-at-nissan-stadium-on-27102018/2019/stats/
japan_vs_new_zealand,2018-11-03,ajinomoto_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/japan-vs-new-zealand-at-ajinomoto-stadium-on-03112018/2019/stats/
wales_vs_scotland,2018-11-03,principality_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/wales-vs-scotland-at-principality-stadium-on-03112018/2019/stats/
england_vs_south_africa,2018-11-03,twickenham,internationals,2019,international,https://www.rugbypass.com/live/internationals/england-vs-south-africa-at-twickenham-on-03112018/2019/stats/
ireland_vs_italy,2018-11-03,soldier_field,internationals,2019,international,https://www.rugbypass.com/live/internationals/ireland-vs-italy-at-soldier-field-on-03112018/2019/stats/
italy_vs_georgia,2018-11-10,stadio_artemio_franchi,internationals,2019,international,https://www.rugbypass.com/live/internationals/italy-vs-georgia-at-stadio-artemio-franchi-on-10112018/2019/stats/
scotland_vs_fiji,2018-11-10,bt_murrayfield,internationals,2019,international,https://www.rugbypass.com/live/internationals/scotland-vs-fiji-at-bt-murrayfield-on-10112018/2019/stats/
england_vs_new_zealand,2018-11-10,twickenham,internationals,2019,international,https://www.rugbypass.com/live/internationals/england-vs-new-zealand-at-twickenham-on-10112018/2019/stats/
wales_vs_australia,2018-11-10,principality_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/wales-vs-australia-at-principality-stadium-on-10112018/2019/stats/
ireland_vs_argentina,2018-11-10,aviva_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/ireland-vs-argentina-at-aviva-stadium-on-10112018/2019/stats/
france_vs_south_africa,2018-11-10,stade_de_france,internationals,2019,international,https://www.rugbypass.com/live/internationals/france-vs-south-africa-at-stade-de-france-on-10112018/2019/stats/
romania_vs_usa,2018-11-17,ghencea_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/romania-vs-usa-at-ghencea-stadium-on-17112018/2019/stats/
italy_vs_australia,2018-11-17,stadio_euganeo,internationals,2019,international,https://www.rugbypass.com/live/internationals/italy-vs-australia-at-stadio-euganeo-on-17112018/2019/stats/
wales_vs_tonga,2018-11-17,principality_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/wales-vs-tonga-at-principality-stadium-on-17112018/2019/stats/
england_vs_japan,2018-11-17,twickenham,internationals,2019,international,https://www.rugbypass.com/live/internationals/england-vs-japan-at-twickenham-on-17112018/2019/stats/
scotland_vs_south_africa,2018-11-17,bt_murrayfield,internationals,2019,international,https://www.rugbypass.com/live/internationals/scotland-vs-south-africa-at-bt-murrayfield-on-17112018/2019/stats/
ireland_vs_new_zealand,2018-11-17,aviva_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/ireland-vs-new-zealand-at-aviva-stadium-on-17112018/2019/stats/
france_vs_argentina,2018-11-17,stade_pierre_mauroy,internationals,2019,international,https://www.rugbypass.com/live/internationals/france-vs-argentina-at-stade-pierre-mauroy-on-17112018/2019/stats/
italy_vs_new_zealand,2018-11-24,stadio_olimpico,internationals,2019,international,https://www.rugbypass.com/live/internationals/italy-vs-new-zealand-at-stadio-olimpico-on-24112018/2019/stats/
scotland_vs_argentina,2018-11-24,bt_murrayfield,internationals,2019,international,https://www.rugbypass.com/live/internationals/scotland-vs-argentina-at-bt-murrayfield-on-24112018/2019/stats/
england_vs_australia,2018-11-24,twickenham,internationals,2019,international,https://www.rugbypass.com/live/internationals/england-vs-australia-at-twickenham-on-24112018/2019/stats/
portugal_vs_namibia,2018-11-24,estadio_municipal_do_taveiro,internationals,2019,international,https://www.rugbypass.com/live/internationals/portugal-vs-namibia-at-estadio-municipal-do-taveiro-on-24112018/2019/stats/
wales_vs_south_africa,2018-11-24,principality_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/wales-vs-south-africa-at-principality-stadium-on-24112018/2019/stats/
ireland_vs_usa,2018-11-24,aviva_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/ireland-vs-usa-at-aviva-stadium-on-24112018/2019/stats/
france_vs_fiji,2018-11-24,stade_de_france,internationals,2019,international,https://www.rugbypass.com/live/internationals/france-vs-fiji-at-stade-de-france-on-24112018/2019/stats/
ireland_vs_italy,2019-08-10,aviva_stadium,internationals,2019,international,https://www.rugbypass.com/live/internationals/ireland-vs-italy-at-aviva-stadium-on-10082019/2019/stats/
