match,date,venue,competition,season,competition_type,rugby_pass_url
north_harbour_vs_canterbury,2020-09-11,north_harbour_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/north-harbour-vs-canterbury-at-north-harbour-stadium-on-11092020/2020/stats/
waikato_vs_wellington,2020-09-12,fmg_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/waikato-vs-wellington-at-fmg-stadium-on-12092020/2020/stats/
otago_vs_auckland,2020-09-12,forsyth_barr_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/otago-vs-auckland-at-forsyth-barr-stadium-on-12092020/2020/stats/
counties_manukau_vs_tasman,2020-09-12,navigation_homes_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/counties-manukau-vs-tasman-at-navigation-homes-stadium-on-12092020/2020/stats/
taranaki_vs_bay_of_plenty,2020-09-13,tet_stadium_and_events_centre,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/taranaki-vs-bay-of-plenty-at-tet-stadium-and-events-centre-on-13092020/2020/stats/
northland_vs_manawatu,2020-09-13,semenoff_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/northland-vs-manawatu-at-semenoff-stadium-on-13092020/2020/stats/
southland_vs_hawkes_bay,2020-09-13,rugby_park_invercargill,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/southland-vs-hawkes-bay-at-rugby-park-invercargill-on-13092020/2020/stats/
tasman_vs_northland,2020-09-18,lansdowne_park,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/tasman-vs-northland-at-lansdowne-park-on-18092020/2020/stats/
waikato_vs_north_harbour,2020-09-19,fmg_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/waikato-vs-north-harbour-at-fmg-stadium-on-19092020/2020/stats/
canterbury_vs_taranaki,2020-09-19,orangetheory_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/canterbury-vs-taranaki-at-orangetheory-stadium-on-19092020/2020/stats/
bay_of_plenty_vs_southland,2020-09-19,rotorua_international_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/bay-of-plenty-vs-southland-at-rotorua-international-stadium-on-19092020/2020/stats/
hawkes_bay_vs_counties_manukau,2020-09-20,mclean_park,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/hawkes-bay-vs-counties-manukau-at-mclean-park-on-20092020/2020/stats/
manawatu_vs_otago,2020-09-20,central_energy_trust_arena,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/manawatu-vs-otago-at-central-energy-trust-arena-on-20092020/2020/stats/
auckland_vs_wellington,2020-09-20,eden_park,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/auckland-vs-wellington-at-eden-park-on-20092020/2020/stats/
wellington_vs_bay_of_plenty,2020-09-25,sky_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/wellington-vs-bay-of-plenty-at-sky-stadium-on-25092020/2020/stats/
tasman_vs_waikato,2020-09-26,tafel_lager_park,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/tasman-vs-waikato-at-tafel-lager-park-on-26092020/2020/stats/
southland_vs_north_harbour,2020-09-26,rugby_park_invercargill,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/southland-vs-north-harbour-at-rugby-park-invercargill-on-26092020/2020/stats/
hawkes_bay_vs_canterbury,2020-09-26,mclean_park,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/hawkes-bay-vs-canterbury-at-mclean-park-on-26092020/2020/stats/
taranaki_vs_otago,2020-09-27,tet_stadium_and_events_centre,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/taranaki-vs-otago-at-tet-stadium-and-events-centre-on-27092020/2020/stats/
auckland_vs_manawatu,2020-09-27,eden_park,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/auckland-vs-manawatu-at-eden-park-on-27092020/2020/stats/
counties_manukau_vs_northland,2020-09-27,navigation_homes_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/counties-manukau-vs-northland-at-navigation-homes-stadium-on-27092020/2020/stats/
bay_of_plenty_vs_auckland,2020-10-02,rotorua_international_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/bay-of-plenty-vs-auckland-at-rotorua-international-stadium-on-02102020/2020/stats/
counties_manukau_vs_manawatu,2020-10-03,navigation_homes_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/counties-manukau-vs-manawatu-at-navigation-homes-stadium-on-03102020/2020/stats/
northland_vs_taranaki,2020-10-03,semenoff_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/northland-vs-taranaki-at-semenoff-stadium-on-03102020/2020/stats/
canterbury_vs_wellington,2020-10-03,orangetheory_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/canterbury-vs-wellington-at-orangetheory-stadium-on-03102020/2020/stats/
southland_vs_waikato,2020-10-04,rugby_park_invercargill,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/southland-vs-waikato-at-rugby-park-invercargill-on-04102020/2020/stats/
north_harbour_vs_tasman,2020-10-04,north_harbour_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/north-harbour-vs-tasman-at-north-harbour-stadium-on-04102020/2020/stats/
otago_vs_hawkes_bay,2020-10-04,forsyth_barr_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/otago-vs-hawkes-bay-at-forsyth-barr-stadium-on-04102020/2020/stats/
manawatu_vs_canterbury,2020-10-09,central_energy_trust_arena,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/manawatu-vs-canterbury-at-central-energy-trust-arena-on-09102020/2020/stats/
north_harbour_vs_hawkes_bay,2020-10-10,north_harbour_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/north-harbour-vs-hawkes-bay-at-north-harbour-stadium-on-10102020/2020/stats/
taranaki_vs_auckland,2020-10-10,tet_stadium_and_events_centre,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/taranaki-vs-auckland-at-tet-stadium-and-events-centre-on-10102020/2020/stats/
wellington_vs_otago,2020-10-10,sky_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/wellington-vs-otago-at-sky-stadium-on-10102020/2020/stats/
waikato_vs_counties_manukau,2020-10-10,fmg_stadium,mitre_10_cup,2020,club,https://www.rugbypass.com/live/mitre-10-cup/waikato-vs-counties-manukau-at-fmg-stadium-on-10102020/2020/stats/
