match,date,venue,competition,season,competition_type,rugby_pass_url
harlequins_vs_exeter_chiefs,2020-11-20,twickenham_stoop,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/harlequins-vs-exeter-chiefs-at-twickenham-stoop-on-20112020/2020-2021/stats/
sale_sharks_vs_northampton_saints,2020-11-20,aj_bell_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/sale-sharks-vs-northampton-saints-at-aj-bell-stadium-on-20112020/2020-2021/stats/
bath_vs_newcastle_falcons,2020-11-21,recreation_ground,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/bath-vs-newcastle-falcons-at-recreation-ground-on-21112020/2020-2021/stats/
worcester_warriors_vs_london_irish,2020-11-21,sixways,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/worcester-warriors-vs-london-irish-at-sixways-on-21112020/2020-2021/stats/
leicester_tigers_vs_gloucester,2020-11-21,welford_road,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/leicester-tigers-vs-gloucester-at-welford-road-on-21112020/2020-2021/stats/
wasps_vs_bristol,2020-11-22,ricoh_arena,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/wasps-vs-bristol-at-ricoh-arena-on-22112020/2020-2021/stats/
newcastle_falcons_vs_sale_sharks,2020-11-27,kingston_park,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/newcastle-falcons-vs-sale-sharks-at-kingston-park-on-27112020/2020-2021/stats/
northampton_saints_vs_harlequins,2020-11-28,franklins_gardens,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/northampton-saints-vs-harlequins-at-franklins-gardens-on-28112020/2020-2021/stats/
bristol_vs_worcester_warriors,2020-11-28,ashton_gate,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/bristol-vs-worcester-warriors-at-ashton-gate-on-28112020/2020-2021/stats/
gloucester_vs_wasps,2020-11-28,kingsholm_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/gloucester-vs-wasps-at-kingsholm-stadium-on-28112020/2020-2021/stats/
exeter_chiefs_vs_bath,2020-11-28,sandy_park_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/exeter-chiefs-vs-bath-at-sandy-park-stadium-on-28112020/2020-2021/stats/
london_irish_vs_leicester_tigers,2020-11-29,community_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/london-irish-vs-leicester-tigers-at-community-stadium-on-29112020/2020-2021/stats/
bristol_vs_northampton_saints,2020-12-04,ashton_gate,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/bristol-vs-northampton-saints-at-ashton-gate-on-04122020/2020-2021/stats/
worcester_warriors_vs_bath,2020-12-05,sixways,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/worcester-warriors-vs-bath-at-sixways-on-05122020/2020-2021/stats/
leicester_tigers_vs_exeter_chiefs,2020-12-05,welford_road,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/leicester-tigers-vs-exeter-chiefs-at-welford-road-on-05122020/2020-2021/stats/
wasps_vs_newcastle_falcons,2020-12-05,ricoh_arena,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/wasps-vs-newcastle-falcons-at-ricoh-arena-on-05122020/2020-2021/stats/
london_irish_vs_sale_sharks,2020-12-06,community_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/london-irish-vs-sale-sharks-at-community-stadium-on-06122020/2020-2021/stats/
gloucester_vs_harlequins,2020-12-06,kingsholm_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/gloucester-vs-harlequins-at-kingsholm-stadium-on-06122020/2020-2021/stats/
bath_vs_london_irish,2020-12-26,recreation_ground,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/bath-vs-london-irish-at-recreation-ground-on-26122020/2020-2021/stats/
