match,date,venue,competition,season,competition_type,rugby_pass_url
italy_vs_france,2021-02-06,stadio_olimpico,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/italy-vs-france-at-stadio-olimpico-on-06022021/2021/stats/
england_vs_scotland,2021-02-06,twickenham,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/england-vs-scotland-at-twickenham-on-06022021/2021/stats/
wales_vs_ireland,2021-02-07,principality_stadium,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/wales-vs-ireland-at-principality-stadium-on-07022021/2021/stats/
england_vs_italy,2021-02-13,twickenham,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/england-vs-italy-at-twickenham-on-13022021/2021/stats/
scotland_vs_wales,2021-02-13,bt_murrayfield_stadium,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/scotland-vs-wales-at-bt-murrayfield-stadium-on-13022021/2021/stats/
ireland_vs_france,2021-02-14,aviva_stadium,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/ireland-vs-france-at-aviva-stadium-on-14022021/2021/stats/
italy_vs_ireland,2021-02-27,stadio_olimpico,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/italy-vs-ireland-at-stadio-olimpico-on-27022021/2021/stats/
wales_vs_england,2021-02-27,principality_stadium,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/wales-vs-england-at-principality-stadium-on-27022021/2021/stats/
france_vs_scotland,2021-03-26,stade_de_france,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/france-vs-scotland-at-stade-de-france-on-26032021/2021/stats/
italy_vs_wales,2021-03-13,stadio_olimpico,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/italy-vs-wales-at-stadio-olimpico-on-13032021/2021/stats/
england_vs_france,2021-03-13,twickenham,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/england-vs-france-at-twickenham-on-13032021/2021/stats/
scotland_vs_ireland,2021-03-14,bt_murrayfield_stadium,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/scotland-vs-ireland-at-bt-murrayfield-stadium-on-14032021/2021/stats/
scotland_vs_italy,2021-03-20,bt_murrayfield_stadium,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/scotland-vs-italy-at-bt-murrayfield-stadium-on-20032021/2021/stats/
ireland_vs_england,2021-03-20,aviva_stadium,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/ireland-vs-england-at-aviva-stadium-on-20032021/2021/stats/
france_vs_wales,2021-03-20,stade_de_france,six_nations,2021,international,https://www.rugbypass.com/live/six-nations/france-vs-wales-at-stade-de-france-on-20032021/2021/stats/
