match,date,venue,competition,season,competition_type,rugby_pass_url
scarlets_vs_cardiff_blues,2021-05-15,parc_y_scarlets,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/scarlets-vs-cardiff-blues-at-parc-y-scarlets-on-15052021/2021/stats/
lions_vs_stormers,2021-05-08,ellis_park,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/lions-vs-stormers-at-ellis-park-on-08052021/2021/stats/
edinburgh_vs_zebre,2021-04-23,murrayfield,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/edinburgh-vs-zebre-at-murrayfield-on-23042021/2021/stats/
ulster_vs_connacht,2021-04-23,kingspan_stadium,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/ulster-vs-connacht-at-kingspan-stadium-on-23042021/2021/stats/
benetton_treviso_vs_glasgow_warriors,2021-04-24,stadio_comunale_di_monigo,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/benetton-treviso-vs-glasgow-warriors-at-stadio-comunale-di-monigo-on-24042021/2021/stats/
ospreys_vs_cardiff_blues,2021-04-24,liberty_stadium,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/ospreys-vs-cardiff-blues-at-liberty-stadium-on-24042021/2021/stats/
leinster_vs_munster,2021-04-24,rds_arena,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/leinster-vs-munster-at-rds-arena-on-24042021/2021/stats/
gwent_dragons_vs_scarlets,2021-04-25,rodney_parade,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/gwent-dragons-vs-scarlets-at-rodney-parade-on-25042021/2021/stats/
zebre_vs_benetton_treviso,2021-05-07,stadio_sergio_lanfranchi,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/zebre-vs-benetton-treviso-at-stadio-sergio-lanfranchi-on-07052021/2021/stats/
glasgow_warriors_vs_edinburgh,2021-05-07,scotstoun_stadium,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/glasgow-warriors-vs-edinburgh-at-scotstoun-stadium-on-07052021/2021/stats/
munster_vs_ulster,2021-05-07,thomond_park,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/munster-vs-ulster-at-thomond-park-on-07052021/2021/stats/
connacht_vs_leinster,2021-05-08,the_sportsground,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/connacht-vs-leinster-at-the-sportsground-on-08052021/2021/stats/
scarlets_vs_ospreys,2021-05-08,parc_y_scarlets,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/scarlets-vs-ospreys-at-parc-y-scarlets-on-08052021/2021/stats/
cardiff_blues_vs_gwent_dragons,2021-05-09,cardiff_arms_park,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/cardiff-blues-vs-gwent-dragons-at-cardiff-arms-park-on-09052021/2021/stats/
munster_vs_connacht,2021-05-14,thomond_park,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/munster-vs-connacht-at-thomond-park-on-14052021/2021/stats/
leinster_vs_ulster,2021-05-14,rds_arena,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/leinster-vs-ulster-at-rds-arena-on-14052021/2021/stats/
benetton_treviso_vs_zebre,2021-05-15,stadio_comunale_di_monigo,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/benetton-treviso-vs-zebre-at-stadio-comunale-di-monigo-on-15052021/2021/stats/
edinburgh_vs_glasgow_warriors,2021-05-15,murrayfield,pro_14_rainbow_cup,2021,club,https://www.rugbypass.com/live/pro-14-rainbow-cup/edinburgh-vs-glasgow-warriors-at-murrayfield-on-15052021/2021/stats/
