match,date,venue,competition,season,competition_type,rugby_pass_url
blues_vs_chiefs,2020-01-31,eden_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/blues-vs-chiefs-at-eden-park-on-31012020/2020/stats/
brumbies_vs_reds,2020-01-31,gio_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/brumbies-vs-reds-at-gio-stadium-on-31012020/2020/stats/
sharks_vs_bulls,2020-01-31,kings_park_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sharks-vs-bulls-at-kings-park-stadium-on-31012020/2020/stats/
sunwolves_vs_rebels,2020-02-01,level_five_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sunwolves-vs-rebels-at-level-five-stadium-on-01022020/2020/stats/
crusaders_vs_waratahs,2020-02-01,trafalgar_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/crusaders-vs-waratahs-at-trafalgar-park-on-01022020/2020/stats/
stormers_vs_hurricanes,2020-02-01,newlands,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/stormers-vs-hurricanes-at-newlands-on-01022020/2020/stats/
jaguares_vs_lions,2020-02-02,estadio_jose_amalfitani,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/jaguares-vs-lions-at-estadio-jose-amalfitani-on-02022020/2020/stats/
highlanders_vs_sharks,2020-02-07,forsyth_barr_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/highlanders-vs-sharks-at-forsyth-barr-stadium-on-07022020/2020/stats/
brumbies_vs_rebels,2020-02-07,gio_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/brumbies-vs-rebels-at-gio-stadium-on-07022020/2020/stats/
chiefs_vs_crusaders,2020-02-08,fmg_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/chiefs-vs-crusaders-at-fmg-stadium-on-08022020/2020/stats/
waratahs_vs_blues,2020-02-08,mcdonald_jones_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/waratahs-vs-blues-at-mcdonald-jones-stadium-on-08022020/2020/stats/
lions_vs_reds,2020-02-08,emirates_airline_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/lions-vs-reds-at-emirates-airline-park-on-08022020/2020/stats/
stormers_vs_bulls,2020-02-08,newlands,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/stormers-vs-bulls-at-newlands-on-08022020/2020/stats/
jaguares_vs_hurricanes,2020-02-08,estadio_jose_amalfitani,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/jaguares-vs-hurricanes-at-estadio-jose-amalfitani-on-08022020/2020/stats/
blues_vs_crusaders,2020-02-14,eden_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/blues-vs-crusaders-at-eden-park-on-14022020/2020/stats/
rebels_vs_waratahs,2020-02-14,aami_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/rebels-vs-waratahs-at-aami-park-on-14022020/2020/stats/
sunwolves_vs_chiefs,2020-02-15,prince_chichibu_memorial_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sunwolves-vs-chiefs-at-prince-chichibu-memorial-stadium-on-15022020/2020/stats/
hurricanes_vs_sharks,2020-02-15,sky_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/hurricanes-vs-sharks-at-sky-stadium-on-15022020/2020/stats/
brumbies_vs_highlanders,2020-02-15,gio_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/brumbies-vs-highlanders-at-gio-stadium-on-15022020/2020/stats/
lions_vs_stormers,2020-02-15,emirates_airline_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/lions-vs-stormers-at-emirates-airline-park-on-15022020/2020/stats/
jaguares_vs_reds,2020-02-15,estadio_jose_amalfitani,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/jaguares-vs-reds-at-estadio-jose-amalfitani-on-15022020/2020/stats/
crusaders_vs_highlanders,2020-02-21,orangetheory_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/crusaders-vs-highlanders-at-orangetheory-stadium-on-21022020/2020/stats/
rebels_vs_sharks,2020-02-22,tbc,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/rebels-vs-sharks-at-tbc-on-22022020/2020/stats/
chiefs_vs_brumbies,2020-02-22,fmg_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/chiefs-vs-brumbies-at-fmg-stadium-on-22022020/2020/stats/
reds_vs_sunwolves,2020-02-22,suncorp_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/reds-vs-sunwolves-at-suncorp-stadium-on-22022020/2020/stats/
stormers_vs_jaguares,2020-02-22,newlands,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/stormers-vs-jaguares-at-newlands-on-22022020/2020/stats/
bulls_vs_blues,2020-02-22,loftus_versfeld,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/bulls-vs-blues-at-loftus-versfeld-on-22022020/2020/stats/
highlanders_vs_rebels,2020-02-28,forsyth_barr_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/highlanders-vs-rebels-at-forsyth-barr-stadium-on-28022020/2020/stats/
waratahs_vs_lions,2020-02-28,bankwest_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/waratahs-vs-lions-at-bankwest-stadium-on-28022020/2020/stats/
hurricanes_vs_sunwolves,2020-02-29,tbc,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/hurricanes-vs-sunwolves-at-tbc-on-29022020/2020/stats/
reds_vs_sharks,2020-02-29,suncorp_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/reds-vs-sharks-at-suncorp-stadium-on-29022020/2020/stats/
stormers_vs_blues,2020-02-29,newlands,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/stormers-vs-blues-at-newlands-on-29022020/2020/stats/
bulls_vs_jaguares,2020-02-29,loftus_versfeld,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/bulls-vs-jaguares-at-loftus-versfeld-on-29022020/2020/stats/
sunwolves_vs_brumbies,2020-03-06,win_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sunwolves-vs-brumbies-at-win-stadium-on-06032020/2020/stats/
crusaders_vs_reds,2020-03-06,orangetheory_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/crusaders-vs-reds-at-orangetheory-stadium-on-06032020/2020/stats/
waratahs_vs_chiefs,2020-03-06,win_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/waratahs-vs-chiefs-at-win-stadium-on-06032020/2020/stats/
hurricanes_vs_blues,2020-03-07,sky_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/hurricanes-vs-blues-at-sky-stadium-on-07032020/2020/stats/
rebels_vs_lions,2020-03-07,aami_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/rebels-vs-lions-at-aami-park-on-07032020/2020/stats/
sharks_vs_jaguares,2020-03-07,kings_park_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sharks-vs-jaguares-at-kings-park-stadium-on-07032020/2020/stats/
bulls_vs_highlanders,2020-03-07,loftus_versfeld,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/bulls-vs-highlanders-at-loftus-versfeld-on-07032020/2020/stats/
chiefs_vs_hurricanes,2020-03-13,fmg_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/chiefs-vs-hurricanes-at-fmg-stadium-on-13032020/2020/stats/
blues_vs_lions,2020-03-14,eden_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/blues-vs-lions-at-eden-park-on-14032020/2020/stats/
sunwolves_vs_crusaders,2020-03-14,suncorp_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sunwolves-vs-crusaders-at-suncorp-stadium-on-14032020/2020/stats/
reds_vs_bulls,2020-03-14,suncorp_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/reds-vs-bulls-at-suncorp-stadium-on-14032020/2020/stats/
sharks_vs_stormers,2020-03-14,kings_park_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sharks-vs-stormers-at-kings-park-stadium-on-14032020/2020/stats/
brumbies_vs_waratahs,2020-03-15,gio_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/brumbies-vs-waratahs-at-gio-stadium-on-15032020/2020/stats/
crusaders_vs_hurricanes,2020-03-20,orangetheory_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/crusaders-vs-hurricanes-at-orangetheory-stadium-on-20032020/2020/stats/
rebels_vs_sunwolves,2020-03-20,aami_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/rebels-vs-sunwolves-at-aami-park-on-20032020/2020/stats/
highlanders_vs_lions,2020-03-21,forsyth_barr_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/highlanders-vs-lions-at-forsyth-barr-stadium-on-21032020/2020/stats/
blues_vs_brumbies,2020-03-21,eden_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/blues-vs-brumbies-at-eden-park-on-21032020/2020/stats/
waratahs_vs_bulls,2020-03-21,tbc,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/waratahs-vs-bulls-at-tbc-on-21032020/2020/stats/
sharks_vs_chiefs,2020-03-21,kings_park_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sharks-vs-chiefs-at-kings-park-stadium-on-21032020/2020/stats/
jaguares_vs_stormers,2020-03-21,estadio_jose_amalfitani,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/jaguares-vs-stormers-at-estadio-jose-amalfitani-on-21032020/2020/stats/
hurricanes_vs_bulls,2020-03-27,sky_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/hurricanes-vs-bulls-at-sky-stadium-on-27032020/2020/stats/
reds_vs_brumbies,2020-03-27,suncorp_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/reds-vs-brumbies-at-suncorp-stadium-on-27032020/2020/stats/
highlanders_vs_crusaders,2020-03-28,forsyth_barr_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/highlanders-vs-crusaders-at-forsyth-barr-stadium-on-28032020/2020/stats/
waratahs_vs_sunwolves,2020-03-28,tbc,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/waratahs-vs-sunwolves-at-tbc-on-28032020/2020/stats/
lions_vs_chiefs,2020-03-28,emirates_airline_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/lions-vs-chiefs-at-emirates-airline-park-on-28032020/2020/stats/
stormers_vs_rebels,2020-03-28,newlands,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/stormers-vs-rebels-at-newlands-on-28032020/2020/stats/
crusaders_vs_blues,2020-04-03,orangetheory_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/crusaders-vs-blues-at-orangetheory-stadium-on-03042020/2020/stats/
chiefs_vs_bulls,2020-04-04,fmg_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/chiefs-vs-bulls-at-fmg-stadium-on-04042020/2020/stats/
brumbies_vs_hurricanes,2020-04-04,gio_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/brumbies-vs-hurricanes-at-gio-stadium-on-04042020/2020/stats/
stormers_vs_waratahs,2020-04-04,newlands,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/stormers-vs-waratahs-at-newlands-on-04042020/2020/stats/
lions_vs_sharks,2020-04-04,emirates_airline_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/lions-vs-sharks-at-emirates-airline-park-on-04042020/2020/stats/
jaguares_vs_rebels,2020-04-04,estadio_jose_amalfitani,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/jaguares-vs-rebels-at-estadio-jose-amalfitani-on-04042020/2020/stats/
sunwolves_vs_reds,2020-04-05,prince_chichibu_memorial_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sunwolves-vs-reds-at-prince-chichibu-memorial-stadium-on-05042020/2020/stats/
highlanders_vs_chiefs,2020-04-10,forsyth_barr_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/highlanders-vs-chiefs-at-forsyth-barr-stadium-on-10042020/2020/stats/
blues_vs_hurricanes,2020-04-11,eden_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/blues-vs-hurricanes-at-eden-park-on-11042020/2020/stats/
reds_vs_rebels,2020-04-11,suncorp_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/reds-vs-rebels-at-suncorp-stadium-on-11042020/2020/stats/
sharks_vs_waratahs,2020-04-11,kings_park_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sharks-vs-waratahs-at-kings-park-stadium-on-11042020/2020/stats/
bulls_vs_lions,2020-04-11,loftus_versfeld,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/bulls-vs-lions-at-loftus-versfeld-on-11042020/2020/stats/
brumbies_vs_jaguares,2020-04-12,gio_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/brumbies-vs-jaguares-at-gio-stadium-on-12042020/2020/stats/
hurricanes_vs_highlanders,2020-04-17,sky_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/hurricanes-vs-highlanders-at-sky-stadium-on-17042020/2020/stats/
rebels_vs_crusaders,2020-04-17,aami_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/rebels-vs-crusaders-at-aami-park-on-17042020/2020/stats/
blues_vs_jaguares,2020-04-18,eden_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/blues-vs-jaguares-at-eden-park-on-18042020/2020/stats/
waratahs_vs_reds,2020-04-18,tbc,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/waratahs-vs-reds-at-tbc-on-18042020/2020/stats/
lions_vs_sunwolves,2020-04-18,emirates_airline_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/lions-vs-sunwolves-at-emirates-airline-park-on-18042020/2020/stats/
stormers_vs_sharks,2020-04-18,newlands,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/stormers-vs-sharks-at-newlands-on-18042020/2020/stats/
crusaders_vs_jaguares,2020-04-24,orangetheory_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/crusaders-vs-jaguares-at-orangetheory-stadium-on-24042020/2020/stats/
rebels_vs_blues,2020-04-24,aami_park,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/rebels-vs-blues-at-aami-park-on-24042020/2020/stats/
chiefs_vs_stormers,2020-04-25,tbc,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/chiefs-vs-stormers-at-tbc-on-25042020/2020/stats/
sharks_vs_brumbies,2020-04-25,kings_park_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sharks-vs-brumbies-at-kings-park-stadium-on-25042020/2020/stats/
bulls_vs_sunwolves,2020-04-25,loftus_versfeld,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/bulls-vs-sunwolves-at-loftus-versfeld-on-25042020/2020/stats/
reds_vs_highlanders,2020-04-26,suncorp_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/reds-vs-highlanders-at-suncorp-stadium-on-26042020/2020/stats/
hurricanes_vs_chiefs,2020-05-01,sky_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/hurricanes-vs-chiefs-at-sky-stadium-on-01052020/2020/stats/
crusaders_vs_stormers,2020-05-02,orangetheory_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/crusaders-vs-stormers-at-orangetheory-stadium-on-02052020/2020/stats/
highlanders_vs_blues,2020-05-02,forsyth_barr_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/highlanders-vs-blues-at-forsyth-barr-stadium-on-02052020/2020/stats/
waratahs_vs_rebels,2020-05-02,tbc,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/waratahs-vs-rebels-at-tbc-on-02052020/2020/stats/
sunwolves_vs_jaguares,2020-05-02,singapore_international_stadium,super_rugby,2020,club,https://www.rugbypass.com/live/super-rugby/sunwolves-vs-jaguares-at-singapore-international-stadium-on-02052020/2020/stats/
