match,date,venue,competition,season,competition_type,rugby_pass_url
reds_vs_waratahs,2021-02-19,suncorp_stadium,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/reds-vs-waratahs-at-suncorp-stadium-on-19022021/2021/stats/
western_force_vs_brumbies,2021-02-19,hbf_park,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/western-force-vs-brumbies-at-hbf-park-on-19022021/2021/stats/
reds_vs_rebels,2021-02-26,suncorp_stadium,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/reds-vs-rebels-at-suncorp-stadium-on-26022021/2021/stats/
brumbies_vs_waratahs,2021-02-27,gio_stadium,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/brumbies-vs-waratahs-at-gio-stadium-on-27022021/2021/stats/
waratahs_vs_western_force,2021-03-05,tbc,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/waratahs-vs-western-force-at-tbc-on-05032021/2021/stats/
rebels_vs_brumbies,2021-03-06,aami_park,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/rebels-vs-brumbies-at-aami-park-on-06032021/2021/stats/
western_force_vs_rebels,2021-03-12,hbf_park,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/western-force-vs-rebels-at-hbf-park-on-12032021/2021/stats/
brumbies_vs_reds,2021-03-13,gio_stadium,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/brumbies-vs-reds-at-gio-stadium-on-13032021/2021/stats/
rebels_vs_waratahs,2021-03-19,aami_park,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/rebels-vs-waratahs-at-aami-park-on-19032021/2021/stats/
reds_vs_western_force,2021-03-20,suncorp_stadium,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/reds-vs-western-force-at-suncorp-stadium-on-20032021/2021/stats/
brumbies_vs_western_force,2021-03-26,gio_stadium,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/brumbies-vs-western-force-at-gio-stadium-on-26032021/2021/stats/
waratahs_vs_reds,2021-03-27,tbc,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/waratahs-vs-reds-at-tbc-on-27032021/2021/stats/
waratahs_vs_brumbies,2021-04-02,tbc,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/waratahs-vs-brumbies-at-tbc-on-02042021/2021/stats/
rebels_vs_reds,2021-04-03,aami_park,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/rebels-vs-reds-at-aami-park-on-03042021/2021/stats/
rebels_vs_western_force,2021-04-09,aami_park,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/rebels-vs-western-force-at-aami-park-on-09042021/2021/stats/
reds_vs_brumbies,2021-04-10,suncorp_stadium,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/reds-vs-brumbies-at-suncorp-stadium-on-10042021/2021/stats/
western_force_vs_waratahs,2021-04-17,hbf_park,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/western-force-vs-waratahs-at-hbf-park-on-17042021/2021/stats/
brumbies_vs_rebels,2021-04-18,gio_stadium,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/brumbies-vs-rebels-at-gio-stadium-on-18042021/2021/stats/
western_force_vs_reds,2021-04-23,hbf_park,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/western-force-vs-reds-at-hbf-park-on-23042021/2021/stats/
waratahs_vs_rebels,2021-04-24,tbc,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/waratahs-vs-rebels-at-tbc-on-24042021/2021/stats/
brumbies_vs_western_force,2021-05-01,gio_stadium,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/brumbies-vs-western-force-at-gio-stadium-on-01052021/2021/stats/
reds_vs_brumbies,2021-05-08,suncorp_stadium,super_rugby_australia,2021,club,https://www.rugbypass.com/live/super-rugby-australia/reds-vs-brumbies-at-suncorp-stadium-on-08052021/2021/stats/
