match,date,venue,competition,season,competition_type,rugby_pass_url
sharks_vs_lions,2020-10-09,kings_park_stadium,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/sharks-vs-lions-at-kings-park-stadium-on-09102020/2020/stats/
cheetahs_vs_pumas,2020-10-10,toyota_stadium,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/cheetahs-vs-pumas-at-toyota-stadium-on-10102020/2020/stats/
bulls_vs_griquas,2020-10-10,loftus_versfeld,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/bulls-vs-griquas-at-loftus-versfeld-on-10102020/2020/stats/
cheetahs_vs_bulls,2020-10-16,toyota_stadium,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/cheetahs-vs-bulls-at-toyota-stadium-on-16102020/2020/stats/
griquas_vs_pumas,2020-10-17,tafel_lager_park,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/griquas-vs-pumas-at-tafel-lager-park-on-17102020/2020/stats/
stormers_vs_lions,2020-10-17,newlands,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/stormers-vs-lions-at-newlands-on-17102020/2020/stats/
pumas_vs_stormers,2020-10-23,mbombela_stadium,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/pumas-vs-stormers-at-mbombela-stadium-on-23102020/2020/stats/
lions_vs_cheetahs,2020-10-24,emirates_airline_park,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/lions-vs-cheetahs-at-emirates-airline-park-on-24102020/2020/stats/
bulls_vs_sharks,2020-10-24,loftus_versfeld,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/bulls-vs-sharks-at-loftus-versfeld-on-24102020/2020/stats/
lions_vs_griquas,2020-10-30,emirates_airline_park,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/lions-vs-griquas-at-emirates-airline-park-on-30102020/2020/stats/
pumas_vs_sharks,2020-10-31,mbombela_stadium,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/pumas-vs-sharks-at-mbombela-stadium-on-31102020/2020/stats/
bulls_vs_stormers,2020-10-31,loftus_versfeld,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/bulls-vs-stormers-at-loftus-versfeld-on-31102020/2020/stats/
sharks_vs_cheetahs,2020-11-06,kings_park_stadium,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/sharks-vs-cheetahs-at-kings-park-stadium-on-06112020/2020/stats/
griquas_vs_stormers,2020-11-07,tafel_lager_park,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/griquas-vs-stormers-at-tafel-lager-park-on-07112020/2020/stats/
lions_vs_bulls,2020-11-07,emirates_airline_park,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/lions-vs-bulls-at-emirates-airline-park-on-07112020/2020/stats/
griquas_vs_sharks,2020-11-13,tafel_lager_park,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/griquas-vs-sharks-at-tafel-lager-park-on-13112020/2020/stats/
lions_vs_pumas,2020-11-14,emirates_airline_park,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/lions-vs-pumas-at-emirates-airline-park-on-14112020/2020/stats/
stormers_vs_cheetahs,2020-11-14,newlands,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/stormers-vs-cheetahs-at-newlands-on-14112020/2020/stats/
bulls_vs_pumas,2020-11-21,loftus_versfeld,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/bulls-vs-pumas-at-loftus-versfeld-on-21112020/2020/stats/
cheetahs_vs_griquas,2020-11-21,toyota_stadium,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/cheetahs-vs-griquas-at-toyota-stadium-on-21112020/2020/stats/
sharks_vs_stormers,2020-11-21,kings_park_stadium,super_rugby_unlocked,2020,club,https://www.rugbypass.com/live/super-rugby-unlocked/sharks-vs-stormers-at-kings-park-stadium-on-21112020/2020/stats/
