match,date,venue,competition,season,competition_type,rugby_pass_url
ireland_vs_wales,2020-11-13,aviva_stadium,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/ireland-vs-wales-at-aviva-stadium-on-13112020/2020/stats/
italy_vs_scotland,2020-11-14,tbc,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/italy-vs-scotland-at-tbc-on-14112020/2020/stats/
england_vs_georgia,2020-11-14,twickenham,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/england-vs-georgia-at-twickenham-on-14112020/2020/stats/
italy_vs_fiji,2020-11-21,tbc,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/italy-vs-fiji-at-tbc-on-21112020/2020/stats/
england_vs_ireland,2020-11-21,twickenham,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/england-vs-ireland-at-twickenham-on-21112020/2020/stats/
wales_vs_georgia,2020-11-21,tbc,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/wales-vs-georgia-at-tbc-on-21112020/2020/stats/
scotland_vs_france,2020-11-22,bt_murrayfield_stadium,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/scotland-vs-france-at-bt-murrayfield-stadium-on-22112020/2020/stats/
scotland_vs_fiji,2020-11-28,bt_murrayfield_stadium,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/scotland-vs-fiji-at-bt-murrayfield-stadium-on-28112020/2020/stats/
wales_vs_england,2020-11-28,tbc,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/wales-vs-england-at-tbc-on-28112020/2020/stats/
france_vs_italy,2020-11-28,tbc,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/france-vs-italy-at-tbc-on-28112020/2020/stats/
ireland_vs_georgia,2020-11-29,aviva_stadium,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/ireland-vs-georgia-at-aviva-stadium-on-29112020/2020/stats/
georgia_vs_fiji,2020-12-05,bt_murrayfield_stadium,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/georgia-vs-fiji-at-bt-murrayfield-stadium-on-05122020/2020/stats/
ireland_vs_scotland,2020-12-05,aviva_stadium,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/ireland-vs-scotland-at-aviva-stadium-on-05122020/2020/stats/
wales_vs_italy,2020-12-05,parc_y_scarlets,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/wales-vs-italy-at-parc-y-scarlets-on-05122020/2020/stats/
england_vs_france,2020-12-06,twickenham,autumn_nations_cup,2020,international,https://www.rugbypass.com/live/autumn-nations-cup/england-vs-france-at-twickenham-on-06122020/2020/stats/
