match,date,venue,competition,season,competition_type,rugby_pass_url
sharks_xv_vs_pumas,2020-11-27,kings_park_stadium,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/sharks-xv-vs-pumas-at-kings-park-stadium-on-27112020/2020/stats/
griquas_vs_golden_lions,2020-11-28,tafel_lager_park,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/griquas-vs-golden-lions-at-tafel-lager-park-on-28112020/2020/stats/
western_province_vs_blue_bulls,2020-11-28,newlands,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/western-province-vs-blue-bulls-at-newlands-on-28112020/2020/stats/
pumas_vs_griquas,2020-12-04,mbombela_stadium,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/pumas-vs-griquas-at-mbombela-stadium-on-04122020/2020/stats/
blue_bulls_vs_cheetahs,2020-12-05,loftus_versfeld,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/blue-bulls-vs-cheetahs-at-loftus-versfeld-on-05122020/2020/stats/
golden_lions_vs_western_province,2020-12-05,emirates_airline_park,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/golden-lions-vs-western-province-at-emirates-airline-park-on-05122020/2020/stats/
western_province_vs_pumas,2020-12-11,newlands,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/western-province-vs-pumas-at-newlands-on-11122020/2020/stats/
sharks_xv_vs_blue_bulls,2020-12-12,kings_park_stadium,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/sharks-xv-vs-blue-bulls-at-kings-park-stadium-on-12122020/2020/stats/
cheetahs_vs_golden_lions,2020-12-12,toyota_stadium,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/cheetahs-vs-golden-lions-at-toyota-stadium-on-12122020/2020/stats/
pumas_vs_cheetahs,2020-12-18,mbombela_stadium,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/pumas-vs-cheetahs-at-mbombela-stadium-on-18122020/2020/stats/
griquas_vs_blue_bulls,2020-12-19,tafel_lager_park,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/griquas-vs-blue-bulls-at-tafel-lager-park-on-19122020/2020/stats/
golden_lions_vs_sharks_xv,2020-12-19,emirates_airline_park,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/golden-lions-vs-sharks-xv-at-emirates-airline-park-on-19122020/2020/stats/
western_province_vs_griquas,2020-12-26,newlands,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/western-province-vs-griquas-at-newlands-on-26122020/2020/stats/
cheetahs_vs_sharks_xv,2020-12-27,toyota_stadium,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/cheetahs-vs-sharks-xv-at-toyota-stadium-on-27122020/2020/stats/
blue_bulls_vs_golden_lions,2021-01-06,loftus_versfeld,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/blue-bulls-vs-golden-lions-at-loftus-versfeld-on-06012021/2020/stats/
pumas_vs_golden_lions,2021-01-02,mbombela_stadium,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/pumas-vs-golden-lions-at-mbombela-stadium-on-02012021/2020/stats/
cheetahs_vs_western_province,2021-01-02,toyota_stadium,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/cheetahs-vs-western-province-at-toyota-stadium-on-02012021/2020/stats/
sharks_xv_vs_griquas,2021-01-02,kings_park_stadium,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/sharks-xv-vs-griquas-at-kings-park-stadium-on-02012021/2020/stats/
griquas_vs_cheetahs,2021-01-09,tafel_lager_park,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/griquas-vs-cheetahs-at-tafel-lager-park-on-09012021/2020/stats/
western_province_vs_sharks_xv,2021-01-09,newlands,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/western-province-vs-sharks-xv-at-newlands-on-09012021/2020/stats/
pumas_vs_blue_bulls,2021-01-10,mbombela_stadium,currie_cup,2020,club,https://www.rugbypass.com/live/currie-cup/pumas-vs-blue-bulls-at-mbombela-stadium-on-10012021/2020/stats/
