match,date,venue,competition,season,competition_type,rugby_pass_url
northampton_saints_vs_leinster,2020-01-15,franklins_gardens,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/northampton-saints-vs-leinster-at-franklins-gardens-on-15012020/2020-2021/stats/
toulon_vs_scarlets,2021-01-15,stade_felix_mayol,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/toulon-vs-scarlets-at-stade-felix-mayol-on-15012021/2020-2021/stats/
lyon_vs_glasgow_warriors,2021-01-16,matmut_stadium_de_gerland,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/lyon-vs-glasgow-warriors-at-matmut-stadium-de-gerland-on-16012021/2020-2021/stats/
ulster_vs_gloucester,2021-01-16,kingspan_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/ulster-vs-gloucester-at-kingspan-stadium-on-16012021/2020-2021/stats/
exeter_chiefs_vs_toulouse,2021-01-16,sandy_park_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/exeter-chiefs-vs-toulouse-at-sandy-park-stadium-on-16012021/2020-2021/stats/
edinburgh_vs_sale_sharks,2021-01-16,bt_murrayfield_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/edinburgh-vs-sale-sharks-at-bt-murrayfield-stadium-on-16012021/2020-2021/stats/
munster_vs_clermont,2021-01-16,thomond_park,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/munster-vs-clermont-at-thomond-park-on-16012021/2020-2021/stats/
montpellier_vs_wasps,2021-01-16,ggl_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/montpellier-vs-wasps-at-ggl-stadium-on-16012021/2020-2021/stats/
bath_vs_la_rochelle,2021-01-17,recreation_ground,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/bath-vs-la-rochelle-at-recreation-ground-on-17012021/2020-2021/stats/
racing_92_vs_harlequins,2021-01-17,paris_la_defense_arena,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/racing-92-vs-harlequins-at-paris-la-defense-arena-on-17012021/2020-2021/stats/
gwent_dragons_vs_bordeaux,2021-01-17,rodney_parade,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/gwent-dragons-vs-bordeaux-at-rodney-parade-on-17012021/2020-2021/stats/
bristol_vs_connacht,2021-01-17,ashtongate,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/bristol-vs-connacht-at-ashtongate-on-17012021/2020-2021/stats/
northampton_saints_vs_bordeaux,2020-12-11,franklins_gardens,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/northampton-saints-vs-bordeaux-at-franklins-gardens-on-11122020/2020-2021/stats/
ulster_vs_toulouse,2020-12-11,kingspan_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/ulster-vs-toulouse-at-kingspan-stadium-on-11122020/2020-2021/stats/
bristol_vs_clermont,2020-12-12,kingspan_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/bristol-vs-clermont-at-kingspan-stadium-on-12122020/2020-2021/stats/
bath_vs_scarlets,2020-12-12,recreation_ground,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/bath-vs-scarlets-at-recreation-ground-on-12122020/2020-2021/stats/
toulon_vs_sale_sharks,2020-12-12,stade_felix_mayol,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/toulon-vs-sale-sharks-at-stade-felix-mayol-on-12122020/2020-2021/stats/
montpellier_vs_leinster,2020-12-12,ggl_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/montpellier-vs-leinster-at-ggl-stadium-on-12122020/2020-2021/stats/
gwent_dragons_vs_wasps,2020-12-12,rodney_parade,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/gwent-dragons-vs-wasps-at-rodney-parade-on-12122020/2020-2021/stats/
edinburgh_vs_la_rochelle,2020-12-12,bt_murrayfield_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/edinburgh-vs-la-rochelle-at-bt-murrayfield-stadium-on-12122020/2020-2021/stats/
lyon_vs_gloucester,2020-12-13,matmut_stadium_de_gerland,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/lyon-vs-gloucester-at-matmut-stadium-de-gerland-on-13122020/2020-2021/stats/
exeter_chiefs_vs_glasgow_warriors,2020-12-13,sandy_park_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/exeter-chiefs-vs-glasgow-warriors-at-sandy-park-stadium-on-13122020/2020-2021/stats/
racing_92_vs_connacht,2020-12-13,paris_la_defense_arena,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/racing-92-vs-connacht-at-paris-la-defense-arena-on-13122020/2020-2021/stats/
munster_vs_harlequins,2020-12-13,thomond_park,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/munster-vs-harlequins-at-thomond-park-on-13122020/2020-2021/stats/
scarlets_vs_toulon,2020-12-18,parc_y_scarlets,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/scarlets-vs-toulon-at-parc-y-scarlets-on-18122020/2020-2021/stats/
wasps_vs_montpellier,2020-12-18,ricoh_arena,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/wasps-vs-montpellier-at-ricoh-arena-on-18122020/2020-2021/stats/
glasgow_warriors_vs_lyon,2020-12-19,scotstoun_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/glasgow-warriors-vs-lyon-at-scotstoun-stadium-on-19122020/2020-2021/stats/
leinster_vs_northampton_saints,2020-12-19,rds_arena,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/leinster-vs-northampton-saints-at-rds-arena-on-19122020/2020-2021/stats/
la_rochelle_vs_bath,2020-12-19,stade_marcel_deflandre,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/la-rochelle-vs-bath-at-stade-marcel-deflandre-on-19122020/2020-2021/stats/
gloucester_vs_ulster,2020-12-19,kingsholm_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/gloucester-vs-ulster-at-kingsholm-stadium-on-19122020/2020-2021/stats/
clermont_vs_munster,2020-12-19,stadium_marcel_michelin,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/clermont-vs-munster-at-stadium-marcel-michelin-on-19122020/2020-2021/stats/
sale_sharks_vs_edinburgh,2020-12-19,aj_bell_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/sale-sharks-vs-edinburgh-at-aj-bell-stadium-on-19122020/2020-2021/stats/
bordeaux_vs_gwent_dragons,2020-12-19,stade_chaban_delmas,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/bordeaux-vs-gwent-dragons-at-stade-chaban-delmas-on-19122020/2020-2021/stats/
harlequins_vs_racing_92,2020-12-20,twickenham_stoop,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/harlequins-vs-racing-92-at-twickenham-stoop-on-20122020/2020-2021/stats/
