match,date,venue,competition,season,competition_type,rugby_pass_url
zebre_vs_cardiff_blues,2020-10-02,stadio_sergio_lanfranchi,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/zebre-vs-cardiff-blues-at-stadio-sergio-lanfranchi-on-02102020/2020-2021/stats/
leinster_vs_gwent_dragons,2020-10-02,rds_arena,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/leinster-vs-gwent-dragons-at-rds-arena-on-02102020/2020-2021/stats/
ulster_vs_benetton_treviso,2020-10-02,kingspan_stadium,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/ulster-vs-benetton-treviso-at-kingspan-stadium-on-02102020/2020-2021/stats/
scarlets_vs_munster,2020-10-03,parc_y_scarlets,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/scarlets-vs-munster-at-parc-y-scarlets-on-03102020/2020-2021/stats/
connacht_vs_glasgow_warriors,2020-10-03,the_sportsground,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/connacht-vs-glasgow-warriors-at-the-sportsground-on-03102020/2020-2021/stats/
edinburgh_vs_ospreys,2020-10-03,bt_murrayfield_stadium,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/edinburgh-vs-ospreys-at-bt-murrayfield-stadium-on-03102020/2020-2021/stats/
gwent_dragons_vs_zebre,2020-10-09,rodney_parade,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/gwent-dragons-vs-zebre-at-rodney-parade-on-09102020/2020-2021/stats/
ospreys_vs_ulster,2020-10-10,liberty_stadium,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/ospreys-vs-ulster-at-liberty-stadium-on-10102020/2020-2021/stats/
benetton_treviso_vs_leinster,2020-10-10,stadio_comunale_di_monigo,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/benetton-treviso-vs-leinster-at-stadio-comunale-di-monigo-on-10102020/2020-2021/stats/
munster_vs_edinburgh,2020-10-10,thomond_park,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/munster-vs-edinburgh-at-thomond-park-on-10102020/2020-2021/stats/
cardiff_blues_vs_connacht,2020-10-10,cardiff_arms_park,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/cardiff-blues-vs-connacht-at-cardiff-arms-park-on-10102020/2020-2021/stats/
glasgow_warriors_vs_scarlets,2020-10-11,scotstoun_stadium,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/glasgow-warriors-vs-scarlets-at-scotstoun-stadium-on-11102020/2020-2021/stats/
leinster_vs_zebre,2020-10-23,rds_arena,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/leinster-vs-zebre-at-rds-arena-on-23102020/2020-2021/stats/
benetton_treviso_vs_scarlets,2020-10-23,stadio_comunale_di_monigo,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/benetton-treviso-vs-scarlets-at-stadio-comunale-di-monigo-on-23102020/2020-2021/stats/
ospreys_vs_glasgow_warriors,2020-10-24,liberty_stadium,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/ospreys-vs-glasgow-warriors-at-liberty-stadium-on-24102020/2020-2021/stats/
ulster_vs_gwent_dragons,2020-10-25,kingspan_stadium,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/ulster-vs-gwent-dragons-at-kingspan-stadium-on-25102020/2020-2021/stats/
edinburgh_vs_connacht,2020-10-25,bt_murrayfield_stadium,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/edinburgh-vs-connacht-at-bt-murrayfield-stadium-on-25102020/2020-2021/stats/
munster_vs_cardiff_blues,2020-10-26,thomond_park,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/munster-vs-cardiff-blues-at-thomond-park-on-26102020/2020-2021/stats/
scarlets_vs_edinburgh,2020-11-01,parc_y_scarlets,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/scarlets-vs-edinburgh-at-parc-y-scarlets-on-01112020/2020-2021/stats/
cardiff_blues_vs_ulster,2020-11-02,cardiff_arms_park,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/cardiff-blues-vs-ulster-at-cardiff-arms-park-on-02112020/2020-2021/stats/
zebre_vs_ospreys,2020-11-02,stadio_sergio_lanfranchi,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/zebre-vs-ospreys-at-stadio-sergio-lanfranchi-on-02112020/2020-2021/stats/
glasgow_warriors_vs_leinster,2020-11-02,scotstoun_stadium,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/glasgow-warriors-vs-leinster-at-scotstoun-stadium-on-02112020/2020-2021/stats/
connacht_vs_benetton_treviso,2020-12-04,the_sportsground,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/connacht-vs-benetton-treviso-at-the-sportsground-on-04122020/2020-2021/stats/
gwent_dragons_vs_munster,2020-12-04,rodney_parade,pro_14,2020-2021,club,https://www.rugbypass.com/live/pro-14/gwent-dragons-vs-munster-at-rodney-parade-on-04122020/2020-2021/stats/
