match,date,venue,competition,season,competition_type,rugby_pass_url
japan_vs_russia,2019-09-20,tokyo_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/japan-vs-russia-at-tokyo-stadium-on-20092019/2019/stats/
australia_vs_fiji,2019-09-21,sapporo_dome,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/australia-vs-fiji-at-sapporo-dome-on-21092019/2019/stats/
france_vs_argentina,2019-09-21,tokyo_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/france-vs-argentina-at-tokyo-stadium-on-21092019/2019/stats/
new_zealand_vs_south_africa,2019-09-21,international_stadium_yokohama,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/new-zealand-vs-south-africa-at-international-stadium-yokohama-on-21092019/2019/stats/
italy_vs_namibia,2019-09-22,hanazono_rugby_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/italy-vs-namibia-at-hanazono-rugby-stadium-on-22092019/2019/stats/
ireland_vs_scotland,2019-09-22,international_stadium_yokohama,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/ireland-vs-scotland-at-international-stadium-yokohama-on-22092019/2019/stats/
england_vs_tonga,2019-09-22,sapporo_dome,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/england-vs-tonga-at-sapporo-dome-on-22092019/2019/stats/
wales_vs_georgia,2019-09-23,city_of_toyota_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/wales-vs-georgia-at-city-of-toyota-stadium-on-23092019/2019/stats/
russia_vs_samoa,2019-09-24,kumagaya_rugby_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/russia-vs-samoa-at-kumagaya-rugby-stadium-on-24092019/2019/stats/
fiji_vs_uruguay,2019-09-25,kamaishi_recovery_memorial_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/fiji-vs-uruguay-at-kamaishi-recovery-memorial-stadium-on-25092019/2019/stats/
italy_vs_canada,2019-09-26,fukuoka_hakatanomori_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/italy-vs-canada-at-fukuoka-hakatanomori-stadium-on-26092019/2019/stats/
england_vs_usa,2019-09-26,kobe_misaki_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/england-vs-usa-at-kobe-misaki-stadium-on-26092019/2019/stats/
argentina_vs_tonga,2019-09-28,hanazono_rugby_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/argentina-vs-tonga-at-hanazono-rugby-stadium-on-28092019/2019/stats/
japan_vs_ireland,2019-09-28,shizuoka_stadium_ecopa,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/japan-vs-ireland-at-shizuoka-stadium-ecopa-on-28092019/2019/stats/
south_africa_vs_namibia,2019-09-28,city_of_toyota_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/south-africa-vs-namibia-at-city-of-toyota-stadium-on-28092019/2019/stats/
australia_vs_wales,2019-09-29,tokyo_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/australia-vs-wales-at-tokyo-stadium-on-29092019/2019/stats/
georgia_vs_uruguay,2019-09-29,kumagaya_rugby_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/georgia-vs-uruguay-at-kumagaya-rugby-stadium-on-29092019/2019/stats/
scotland_vs_samoa,2019-09-30,kobe_misaki_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/scotland-vs-samoa-at-kobe-misaki-stadium-on-30092019/2019/stats/
france_vs_usa,2019-10-02,fukuoka_hakatanomori_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/france-vs-usa-at-fukuoka-hakatanomori-stadium-on-02102019/2019/stats/
new_zealand_vs_canada,2019-10-02,oita_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/new-zealand-vs-canada-at-oita-stadium-on-02102019/2019/stats/
ireland_vs_russia,2019-10-03,kobe_misaki_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/ireland-vs-russia-at-kobe-misaki-stadium-on-03102019/2019/stats/
south_africa_vs_italy,2019-10-04,shizuoka_stadium_ecopa,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/south-africa-vs-italy-at-shizuoka-stadium-ecopa-on-04102019/2019/stats/
england_vs_argentina,2019-10-05,tokyo_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/england-vs-argentina-at-tokyo-stadium-on-05102019/2019/stats/
wales_vs_fiji,2019-10-09,oita_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/wales-vs-fiji-at-oita-stadium-on-09102019/2019/stats/
georgia_vs_fiji,2019-10-03,hanazono_rugby_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/georgia-vs-fiji-at-hanazono-rugby-stadium-on-03102019/2019/stats/
australia_vs_uruguay,2019-10-05,oita_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/australia-vs-uruguay-at-oita-stadium-on-05102019/2019/stats/
japan_vs_samoa,2019-10-05,city_of_toyota_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/japan-vs-samoa-at-city-of-toyota-stadium-on-05102019/2019/stats/
new_zealand_vs_namibia,2019-10-06,tokyo_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/new-zealand-vs-namibia-at-tokyo-stadium-on-06102019/2019/stats/
france_vs_tonga,2019-10-06,kumamoto_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/france-vs-tonga-at-kumamoto-stadium-on-06102019/2019/stats/
south_africa_vs_canada,2019-10-08,kobe_misaki_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/south-africa-vs-canada-at-kobe-misaki-stadium-on-08102019/2019/stats/
argentina_vs_usa,2019-10-09,kumagaya_rugby_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/argentina-vs-usa-at-kumagaya-rugby-stadium-on-09102019/2019/stats/
scotland_vs_russia,2019-10-09,shizuoka_stadium_ecopa,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/scotland-vs-russia-at-shizuoka-stadium-ecopa-on-09102019/2019/stats/
australia_vs_georgia,2019-10-11,shizuoka_stadium_ecopa,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/australia-vs-georgia-at-shizuoka-stadium-ecopa-on-11102019/2019/stats/
new_zealand_vs_italy,2019-10-12,city_of_toyota_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/new-zealand-vs-italy-at-city-of-toyota-stadium-on-12102019/2019/stats/
england_vs_france,2019-10-12,international_stadium_yokohama,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/england-vs-france-at-international-stadium-yokohama-on-12102019/2019/stats/
ireland_vs_samoa,2019-10-12,fukuoka_hakatanomori_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/ireland-vs-samoa-at-fukuoka-hakatanomori-stadium-on-12102019/2019/stats/
namibia_vs_canada,2019-10-13,kamaishi_recovery_memorial_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/namibia-vs-canada-at-kamaishi-recovery-memorial-stadium-on-13102019/2019/stats/
usa_vs_tonga,2019-10-13,hanazono_rugby_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/usa-vs-tonga-at-hanazono-rugby-stadium-on-13102019/2019/stats/
wales_vs_uruguay,2019-10-13,kumamoto_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/wales-vs-uruguay-at-kumamoto-stadium-on-13102019/2019/stats/
japan_vs_scotland,2019-10-13,international_stadium_yokohama,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/japan-vs-scotland-at-international-stadium-yokohama-on-13102019/2019/stats/
england_vs_australia,2019-10-19,oita_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/england-vs-australia-at-oita-stadium-on-19102019/2019/stats/
new_zealand_vs_ireland,2019-10-19,tokyo_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/new-zealand-vs-ireland-at-tokyo-stadium-on-19102019/2019/stats/
wales_vs_france,2019-10-20,oita_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/wales-vs-france-at-oita-stadium-on-20102019/2019/stats/
japan_vs_south_africa,2019-10-20,tokyo_stadium,rugby_world_cup,2019,international,https://www.rugbypass.com/live/rugby-world-cup/japan-vs-south-africa-at-tokyo-stadium-on-20102019/2019/stats/
