match,date,venue,competition,season,competition_type,rugby_pass_url
perpignan_vs_stade_francais,2018-08-25,stade_aime_giral,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/perpignan-vs-stade-francais-at-stade-aime-giral-on-25082018/2018-2019/stats/
la_rochelle_vs_grenoble,2018-08-25,stade_marcel_deflandre,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/la-rochelle-vs-grenoble-at-stade-marcel-deflandre-on-25082018/2018-2019/stats/
clermont_auvergne_vs_agen,2018-08-25,stade_marcel_michelin,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/clermont-auvergne-vs-agen-at-stade-marcel-michelin-on-25082018/2018-2019/stats/
lyon_vs_toulouse,2018-08-25,matmut_stadium_de_gerland,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/lyon-vs-toulouse-at-matmut-stadium-de-gerland-on-25082018/2018-2019/stats/
bordeaux_begles_vs_pau,2018-08-25,stade_chaban_delmas,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/bordeaux-begles-vs-pau-at-stade-chaban-delmas-on-25082018/2018-2019/stats/
toulon_vs_racing_92,2018-08-25,stade_felix_mayol,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/toulon-vs-racing-92-at-stade-felix-mayol-on-25082018/2018-2019/stats/
montpellier_vs_castres,2018-08-26,ggl_stadium,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/montpellier-vs-castres-at-ggl-stadium-on-26082018/2018-2019/stats/
pau_vs_toulon,2018-09-01,stade_du_hameau,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/pau-vs-toulon-at-stade-du-hameau-on-01092018/2018-2019/stats/
stade_francais_vs_bordeaux_begles,2018-09-01,stade_jean_bouin,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/stade-francais-vs-bordeaux-begles-at-stade-jean-bouin-on-01092018/2018-2019/stats/
castres_vs_lyon,2018-09-01,stade_pierre_fabre,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/castres-vs-lyon-at-stade-pierre-fabre-on-01092018/2018-2019/stats/
montpellier_vs_la_rochelle,2018-09-01,ggl_stadium,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/montpellier-vs-la-rochelle-at-ggl-stadium-on-01092018/2018-2019/stats/
grenoble_vs_toulouse,2018-09-01,stade_des_alpes,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/grenoble-vs-toulouse-at-stade-des-alpes-on-01092018/2018-2019/stats/
agen_vs_perpignan,2018-09-02,stade_armandie,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/agen-vs-perpignan-at-stade-armandie-on-02092018/2018-2019/stats/
racing_92_vs_clermont_auvergne,2018-09-02,paris_la_defense_arena,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/racing-92-vs-clermont-auvergne-at-paris-la-defense-arena-on-02092018/2018-2019/stats/
bordeaux_begles_vs_montpellier,2018-09-08,stade_chaban_delmas,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/bordeaux-begles-vs-montpellier-at-stade-chaban-delmas-on-08092018/2018-2019/stats/
toulouse_vs_la_rochelle,2018-09-08,stade_ernest_wallon,top_14,2018-2019,club,https://www.rugbypass.com/live/top-14/toulouse-vs-la-rochelle-at-stade-ernest-wallon-on-08092018/2018-2019/stats/
